Ma;Mathe
Frz;Französisch
Geo;Geography
En;Englisch
Phy;Physik
Ges;Geschichte
Ku;Kunst
Thea;Theater
Mus;Musik
KR;Klassenrat
Phil;Philosophy
Rel;Religion
PGW;PGW
De;Deutsch
Ch;Chemie
Spo;Sport
Inf;Informatik
